Dataset,Reference,Access,N,Age (years),Tesla,Structural MRI contrasts,Min voxel size (mm3),Other MR modalities
"<a href=""https://openneuro.org/datasets/ds005216/versions/1.1.0"" target=""_blank"">UltraCortex</a>","<a href=""https://www.nature.com/articles/s41597-025-04779-2"" target=""_blank"">Mahler et al, 2025</a>",1.0,86,[22-53],9.4,T1,0.8 x 0.8 x 0.8; 0.6 x 0.6 x 0.6,
"<a href=""https://zenodo.org/records/7432527"" target=""_blank"">BigBrain-MR</a>","<a href=""https://www.sciencedirect.com/science/article/pii/S1053811923002203?via%3Dihub"" target=""_blank"">Sainz Martinez et al, 2023</a>",1.0,1,65,7,"T1w, T2w, T2*w, T1 map, QSM",0.1 x 0.1 x 0.1,
"<a href=""https://doi.org/10.1038/s41597-019-0254-8"" target=""_blank"">Edlow-Brain*</a>","<a href=""https://www.nature.com/articles/s41597-019-0254-8"" target=""_blank"">Edlow et al, 2019</a>",1.0,1,58,7,T1w,0.1 x 0.1 x 0.1,
"<a href=""https://datadryad.org/dataset/doi:10.5061/dryad.38s74"" target=""_blank"">InVivo250μm</a>","<a href=""https://www.nature.com/articles/sdata201732"" target=""_blank"">Lüsebrink et al, 2017</a>",1.0,1,27,7,T1w,0.25 x 0.25 x 0.25; 0.5 x 0.5 x 0.5; 1 x 1 x 1,
"<a href=""https://doi.org/10.18112/openneuro.ds003563.v1.0.1"" target=""_blank"">Human Phantom</a>","<a href=""https://www.nature.com/articles/s41597-021-00923-w"" target=""_blank"">Lüsebrink et al, 2021</a>",1.0,1,longitudinal 27-38,7,"T1w, T2w, T2*, QSM, ToF",0.25 x 0.25 x 0.25; 0.45 x 0.45 x 0.45,"DWI, fMRI"
"<a href=""https://doi.org/10.21942/uva.14260064.v2%20%20AND%20https:/doi.org/10.21942/uva.16834114.v2"" target=""_blank"">Amsterdam-Unified brains*</a>","<a href=""https://doi.org/10.1126/sciadv.abj7892"" target=""_blank"">Alkemade et al, 2022</a>",1.0,2,[59;75],7,"R1-, R2*-, PD-maps, Biel, CB, CR, PV, Nissl",0.4 x 0.4 x 0.4,
"<a href=""https://osf.io/mhq3f/overview"" target=""_blank"">MICA-PNI</a>","<a href=""https://www.nature.com/articles/s41597-025-04863-7"" target=""_blank"">Gift Cabalo et al, 2025</a>",1.0,10,[20-36],7,"T1, T2*, QSM, MT",0.5 x 0.5 x 0.5; 0.7 x 0.7 x 0.7,"DWI, fMRI"
"<a href=""http://www.nitrc.org/frs/?group_id=606"" target=""_blank"">CBS</a>","<a href=""https://www.sciencedirect.com/science/article/abs/pii/S1053811915007612?via%3Dihub"" target=""_blank"">Lucas Tardif et al, 2016</a>",1.0,28,26 ± 4,7,"T1, T2*w",0.5 x 0.5 x 0.5,
"<a href=""https://openneuro.org/datasets/ds003967/versions/1.0.0"" target=""_blank"">7TAMIBrain</a>","<a href=""https://doi.org/10.1111/ejn.15575"" target=""_blank"">Brun et al, 2021</a>",1.0,60,[19-54],7,T1 map,0.6 x 0.6 x 0.6,
"<a href=""https://uvaauas.figshare.com/articles/dataset/The_Amsterdam_Ultra-high_field_adult_lifespan_database_AHEAD_A_freely_available_multimodal_7_Tesla_submillimeter_magnetic_resonance_imaging_database/10007840/1"" target=""_blank"">AHEAD (whole brain, slab)</a>","<a href=""https://www.sciencedirect.com/science/article/pii/S1053811920306868?via%3Dihub"" target=""_blank"">Alkemade et al, 2020 Bazin et al, 2025</a>",1.0,105,[18-80],"3, 7","T1, T2*, QSM",0.64 × 0.64 × 0.7; 0.5 x 0.5 x 0.5,DWI
